1,399,102
2,359,104
3,333,103
4,311,101
5,300,101
6,285,104
7,275,104
8,263,105
9,253,104
10,246,105
11,232,105
12,226,103
13,216,105
14,210,107
15,202,106
16,289,107
17,283,107
18,272,106
19,264,104
20,260,103
21,246,100
22,236,101
23,223,99
24,210,97
25,206,100
26,199,99
27,191,97
28,185,95
29,177,96
30,173,93
31,224,89
32,220,88
33,212,87
34,208,85
35,206,81
36,195,78
37,190,75
38,187,73
39,185,68
40,184,66
41,181,67
42,178,64
43,178,64
44,177,62
45,174,61
46,186,59
47,182,61
48,179,59
49,175,58
50,170,58
51,166,56
52,162,55
53,158,54
54,156,50
55,153,50
56,152,49
57,150,47
58,146,47
59,145,47
60,143,45
61,164,43
62,164,41
63,161,41
64,159,41
65,156,39
66,152,39
67,152,38
68,149,35
69,144,32
70,142,33
71,140,34
72,140,34
73,143,33
74,142,32
75,141,32
76,177,32
77,176,31
78,173,29
79,170,30
80,170,30
81,168,30
82,166,31
83,164,31
84,162,31
85,158,32
86,156,33
87,155,34
88,154,35
89,153,35
90,150,35
91,182,34
92,181,33
93,179,32
94,179,32
95,179,31
96,178,32
97,178,31
98,178,29
99,177,29
100,177,27
101,177,27
102,177,26
103,174,25
104,173,23
105,170,21
106,194,18
107,194,18
108,194,18
109,193,18
110,193,18
111,193,18
112,192,19
113,191,20
114,190,20
115,189,20
116,191,21
117,191,22
118,190,21
119,189,20
120,188,20
121,235,20
122,236,19
123,235,18
124,233,18
125,233,18
126,233,19
127,231,19
128,229,19
129,228,20
130,226,18
131,226,16
132,227,15
133,227,15
134,224,15
135,222,15
136,269,13
137,266,13
138,265,12
139,265,12
140,264,12
141,265,12
142,265,13
143,264,14
144,261,14
145,261,13
146,262,14
147,265,14
148,265,14
149,265,14
150,265,14
151,315,14
152,315,13
153,314,12
154,314,11
155,313,11
156,314,11
157,312,11
158,313,11
159,312,10
160,313,10
161,315,9
162,317,9
163,319,9
164,319,9
165,319,9
166,395,7
167,396,6
168,395,6
169,395,6
170,395,6
171,397,6
172,397,6
173,399,6
174,399,6
175,399,6
176,402,8
177,407,8
178,409,9
179,409,9
180,408,9
